ICD1;ICD2;Diagnose;Physio;Ergo;Logo;Hinweis
B94.1;;Folgezustände der Virusenzephalitis;ZN/SO3;EN1;SC/ST1/SP1/SP3/SP4/SP5/RE1/RE2/SF;längstens 1 Jahr nach Akutereignis
C70.0;;Bösartige Neubildungen der Meningen: Hirnhäute;ZN/SO1/SO3;EN1/EN2;SC/ST1/SP1/SP2/SP3/SP5/;längstens 1 Jahr nach Akutereignis
C70.1;;Rückenmarkhäute;ZN/SO1/SO3;EN1/EN2;SP6/RE1/RE2/;längstens 1 Jahr nach Akutereignis
C70.9;;Meningen, nicht näher bezeichnet;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.0;;Bösartige Neubildung des Gehirns: Zerebrum, ausgenommen Hirnlappen und Ventrikel;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.1;;Bösartige Neubildung des Gehirns: Frontallappen;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.2;;Bösartige Neubildung des Gehirns: Temporallappen;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.3;;Bösartige Neubildung des Gehirns: Parietallappen;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.4;;Bösartige Neubildung des Gehirns: Okzipitallappen;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.5;;Bösartige Neubildung des Gehirns: Hirnventrikel;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.6;;Bösartige Neubildung des Gehirns: Zerebellum;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.7;;Bösartige Neubildung des Gehirns: Hirnstamm;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.8;;Bösartige Neubildung des Gehirns: Gehirn, mehrere Teilbereiche überlappend;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C71.9;;Bösartige Neubildung des Gehirns: Gehirn, nicht näher bezeichnet;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.0;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Rückenmark;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.1;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Cauda equina;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.2;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Nn. olfactorii [I. Hirnnerv];ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.3;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: N. opticus [II. Hirnnerv];ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.4;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: N. vestibulocochlearis [VIII. Hirnnerv];ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.5;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Sonstige und nicht näher bezeichnete Hirnnerven;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.8;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
C72.9;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Zentralnervensystem, nicht näher bezeichnet;ZN/SO1/SO3;EN1/EN2;SF;längstens 1 Jahr nach Akutereignis
G10;;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems: Chorea Huntington;ZN;EN1;SC/SP5/SP6;längstens 1 Jahr nach Akutereignis
G11.0;;Hereditäre Ataxie: Angeborene nichtprogressive Ataxie;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.1;;Hereditäre Ataxie: Früh beginnende zerebellare Ataxie;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.2;;Hereditäre Ataxie: Spät beginnende zerebellare Ataxie;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.3;;Hereditäre Ataxie: Zerebellare Ataxie mit defektem DNA-Reparatursystem;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.4;;Hereditäre Ataxie: Hereditäre spastische Paraplegie;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.8;;Hereditäre Ataxie: Sonstige hereditäre Ataxien;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G11.9;;Hereditäre Ataxie: Hereditäre Ataxie, nicht näher bezeichnet;ZN;EN1;SC;längstens 1 Jahr nach Akutereignis
G12.0;;Spinale Muskelatrophie und verwandte Syndrome: Infantile spinale Muskelatrophie, Typ I [Typ Werdnig-Ho?mann];ZN/AT;EN2/SB3;SC/SP6;längstens 1 Jahr nach Akutereignis
G12.1;;Spinale Muskelatrophie und verwandte Syndrome: Sonstige vererbte spinale Muskelatrophie;ZN/AT;EN2/SB3;SC/SP6;längstens 1 Jahr nach Akutereignis
G12.2;;Spinale Muskelatrophie und verwandte Syndrome: Motoneuron-Krankheit;ZN/AT;EN2/SB3;SC/SP6;längstens 1 Jahr nach Akutereignis
G12.8;;Spinale Muskelatrophie und verwandte Syndrome: Sonstige spinale Muskelatrophien und verwandte Syndrome;ZN/AT;EN2/SB3;SC/SP6;längstens 1 Jahr nach Akutereignis
G12.9;;Spinale Muskelatrophie und verwandte Syndrome: Spinale Muskelatrophie, nicht näher bezeichnet;ZN/AT;EN2/SB3;SC/SP6;längstens 1 Jahr nach Akutereignis
G14;;Spinale Muskelatrophie und verwandte Syndrome: Postpoliosyndrom;ZN/PN/AT;EN1/EN2/EN3;SC/SP6;längstens 1 Jahr nach Akutereignis
G20.1-;;Primäres Parkinson-Syndrom: Primäres Parkinson-Syndrom mit mäßiger bis schwerer Beeinträchtigung (Stadien 3 oder 4 nach Hoehn und Yahr);ZN;EN1;SC/SP6;längstens 1 Jahr nach Akutereignis
G20.2-;;Primäres Parkinson-Syndrom: Primäres Parkinson-Syndrom mit schwerster Beeinträchtigung (Stadium 5 nach Hoehn und Yahr);ZN;EN1;SC/SP6/ST1;längstens 1 Jahr nach Akutereignis
G21.3;;Sekundäres Parkinson-Syndrom: Postenzephalitisches Parkinson-Syndrom;ZN;EN1;SC/SP6;längstens 1 Jahr nach Akutereignis
G21.4;;Sekundäres Parkinson-Syndrom: Vaskuläres Parkinson-Syndrom;ZN;EN1;SC/SP6;längstens 1 Jahr nach Akutereignis
G21.8;;Sekundäres Parkinson-Syndrom: Sonstiges sekundäres Parkinson-Syndrom;ZN;EN1;SC/SP6;längstens 1 Jahr nach Akutereignis
G24.3;;Sekundäres Parkinson-Syndrom: Torticollis spasticus;ZN;EN1;SC/SP6;nur bei gleichzeitiger leitliniengerechter medikamentöser
G35.0;;Multiple Sklerose [Encephalomyelitis disseminata]: Erstmanifestation einer multiplen Sklerose;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G35.1-;;Multiple Sklerose [Encephalomyelitis disseminata]: Multiple Sklerose mit vorherrschend schubförmigem Verlauf;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G35.2-;;Multiple Sklerose [Encephalomyelitis disseminata]: Multiple Sklerose mit primär-chronischem Verlauf;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G35.3-;;Multiple Sklerose [Encephalomyelitis disseminata]: Multiple Sklerose mit sekundär-chronischem Verlauf;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G35.9;;Multiple Sklerose [Encephalomyelitis disseminata]: Multiple Sklerose, nicht näher bezeichnet;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G36.0;;Sonstige akute disseminierte Demyelinisation: Neuromyelitis optica [Devic-Krankheit];ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G36.1;;Sonstige akute disseminierte Demyelinisation: Akute und subakute hämorrhagische Leukoenzephalitis [Hurst];ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G36.8;;Sonstige akute disseminierte Demyelinisation: Sonstige näher bezeichnete akute disseminierte Demyelinisation;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G36.9;;Sonstige akute disseminierte Demyelinisation: Akute disseminierte Demyelinisation, nicht näher bezeichnet;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.0;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Diffuse Hirnsklerose;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.1;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Zentrale Demyelinisation des Corpus callosum;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.2;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Zentrale pontine Myelinolyse;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.3;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Myelitis transversa acuta bei demyelinisierender Krankheit des Zentralnervensystems;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.4;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Subakute nekrotisierende Myelitis [FoixAlajouanine-Syndrom];ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.5;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Konzentrische Sklerose [Baló-Krankheit];ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.8;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Sonstige näher bezeichnete demyelinisierende Krankheiten des Zentralnervensystems;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G37.9;;Sonstige demyelinisierende Krankheiten des Zentralnervensystems: Demyelinisierende Krankheit des Zentralnervensystems, nicht näher bezeichnet;ZN;EN1/EN2;SC/ST1/SP5/SP6;Therapie
G60.0;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Hereditäre sensomotorische Neuropathie;WS/EX/PN;SB2/EN3;SP3;Therapie
G60.8;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Sonstige hereditäre und idiopathische Neuropathien;EX/CS/PN/SO4;SB1/SB2/EN3;SP3;Therapie
G61.0;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Guillain-Barré-Syndrom;PN;EN3;SP3;Therapie
G61.8;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Sonstige Polyneuritiden;PN;EN3;SP3;nur chronisch in?ammatorische demyelinisierende
G70.0;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Myasthenia gravis;ZN;EN1/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G70.2;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Angeborene oder entwicklungsbedingte Myasthenie;PN/AT;EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G71.0-;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Muskeldystrophie;ZN/AT;EN2/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G71.1;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Myotone Syndrome;PN/AT;EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G71.2;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Angeborene Myopathien;WS/EX/PN/AT;EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G71.3;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Mitochondriale Myopathie, anderenorts nicht klassifiziert;ZN/PN;EN1/EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G72.3;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Periodische Lähmung;PN/AT;EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G72.4;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Entzündliche Myopathie, anderenorts nicht klassifiziert;PN/AT;EN3;SC/SP6;Polyradikuloneuropathie (CIDP)
G73.6*;;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems: Myopathie bei Sto?wechselerkrankungen;PN;EN3/SB3;SC/SP6;Polyradikuloneuropathie (CIDP)
G80.0;;Infantile Zerebralparese: Spastische tetraplegische Zerebralparese;ZN;EN1;SP6/SC;Polyradikuloneuropathie (CIDP)
